Date,Amount,Category,Lag_1,Lag_4,Growth_Rate,Roll_Std_4,Trend_Target,Month,Week,Cat_Baby Food,Cat_Beverages,Cat_Cereal,Cat_Clothes,Cat_Cosmetics,Cat_Fruits,Cat_Household,Cat_Meat,Cat_Office Supplies,Cat_Personal Care,Cat_Snacks,Cat_Vegetables
2010-06-27,0.0,Baby Food,0.0,2533654.0,0.0,1266827.0,0,6,25,True,False,False,False,False,False,False,False,False,False,False,False
2010-07-04,0.0,Baby Food,0.0,0.0,0.0,0.0,0,7,26,True,False,False,False,False,False,False,False,False,False,False,False
2010-07-11,0.0,Baby Food,0.0,0.0,0.0,0.0,0,7,27,True,False,False,False,False,False,False,False,False,False,False,False
2010-07-18,0.0,Baby Food,0.0,0.0,0.0,0.0,0,7,28,True,False,False,False,False,False,False,False,False,False,False,False
2010-07-25,0.0,Baby Food,0.0,0.0,0.0,0.0,0,7,29,True,False,False,False,False,False,False,False,False,False,False,False
2010-08-01,0.0,Baby Food,0.0,0.0,0.0,0.0,0,8,30,True,False,False,False,False,False,False,False,False,False,False,False
2010-08-08,0.0,Baby Food,0.0,0.0,0.0,0.0,0,8,31,True,False,False,False,False,False,False,False,False,False,False,False
2010-08-15,0.0,Baby Food,0.0,0.0,0.0,0.0,0,8,32,True,False,False,False,False,False,False,False,False,False,False,False
2010-08-22,0.0,Baby Food,0.0,0.0,0.0,0.0,0,8,33,True,False,False,False,False,False,False,False,False,False,False,False
2010-08-29,0.0,Baby Food,0.0,0.0,0.0,0.0,0,8,34,True,False,False,False,False,False,False,False,False,False,False,False
2010-09-05,0.0,Baby Food,0.0,0.0,0.0,0.0,0,9,35,True,False,False,False,False,False,False,False,False,False,False,False
2010-09-12,0.0,Baby Food,0.0,0.0,0.0,0.0,0,9,36,True,False,False,False,False,False,False,False,False,False,False,False
2010-09-19,0.0,Baby Food,0.0,0.0,0.0,0.0,0,9,37,True,False,False,False,False,False,False,False,False,False,False,False
2010-09-26,0.0,Baby Food,0.0,0.0,0.0,0.0,0,9,38,True,False,False,False,False,False,False,False,False,False,False,False
2010-10-03,0.0,Baby Food,0.0,0.0,0.0,0.0,0,10,39,True,False,False,False,False,False,False,False,False,False,False,False
2010-10-10,0.0,Baby Food,0.0,0.0,0.0,0.0,0,10,40,True,False,False,False,False,False,False,False,False,False,False,False
2010-10-17,0.0,Baby Food,0.0,0.0,0.0,0.0,0,10,41,True,False,False,False,False,False,False,False,False,False,False,False
2010-10-24,0.0,Baby Food,0.0,0.0,0.0,0.0,0,10,42,True,False,False,False,False,False,False,False,False,False,False,False
2010-10-31,0.0,Baby Food,0.0,0.0,0.0,0.0,0,10,43,True,False,False,False,False,False,False,False,False,False,False,False
2010-11-07,0.0,Baby Food,0.0,0.0,0.0,0.0,0,11,44,True,False,False,False,False,False,False,False,False,False,False,False
2010-11-14,0.0,Baby Food,0.0,0.0,0.0,0.0,0,11,45,True,False,False,False,False,False,False,False,False,False,False,False
2010-11-21,0.0,Baby Food,0.0,0.0,0.0,0.0,0,11,46,True,False,False,False,False,False,False,False,False,False,False,False
2010-11-28,0.0,Baby Food,0.0,0.0,0.0,0.0,0,11,47,True,False,False,False,False,False,False,False,False,False,False,False
2010-12-05,0.0,Baby Food,0.0,0.0,0.0,0.0,0,12,48,True,False,False,False,False,False,False,False,False,False,False,False
2010-12-12,0.0,Baby Food,0.0,0.0,0.0,0.0,0,12,49,True,False,False,False,False,False,False,False,False,False,False,False
2010-12-19,0.0,Baby Food,0.0,0.0,0.0,0.0,0,12,50,True,False,False,False,False,False,False,False,False,False,False,False
2010-12-26,0.0,Baby Food,0.0,0.0,0.0,0.0,0,12,51,True,False,False,False,False,False,False,False,False,False,False,False
2011-01-02,0.0,Baby Food,0.0,0.0,0.0,0.0,0,1,52,True,False,False,False,False,False,False,False,False,False,False,False
2011-01-09,0.0,Baby Food,0.0,0.0,0.0,0.0,0,1,1,True,False,False,False,False,False,False,False,False,False,False,False
2011-01-16,0.0,Baby Food,0.0,0.0,0.0,0.0,0,1,2,True,False,False,False,False,False,False,False,False,False,False,False
2011-01-23,0.0,Baby Food,0.0,0.0,0.0,0.0,0,1,3,True,False,False,False,False,False,False,False,False,False,False,False
2011-01-30,0.0,Baby Food,0.0,0.0,0.0,0.0,0,1,4,True,False,False,False,False,False,False,False,False,False,False,False
2011-02-06,0.0,Baby Food,0.0,0.0,0.0,0.0,0,2,5,True,False,False,False,False,False,False,False,False,False,False,False
2011-02-13,0.0,Baby Food,0.0,0.0,0.0,0.0,0,2,6,True,False,False,False,False,False,False,False,False,False,False,False
2011-02-20,0.0,Baby Food,0.0,0.0,0.0,0.0,0,2,7,True,False,False,False,False,False,False,False,False,False,False,False
2011-02-27,0.0,Baby Food,0.0,0.0,0.0,0.0,0,2,8,True,False,False,False,False,False,False,False,False,False,False,False
2011-03-06,0.0,Baby Food,0.0,0.0,0.0,0.0,0,3,9,True,False,False,False,False,False,False,False,False,False,False,False
2011-03-13,0.0,Baby Food,0.0,0.0,0.0,0.0,0,3,10,True,False,False,False,False,False,False,False,False,False,False,False
2011-03-20,0.0,Baby Food,0.0,0.0,0.0,0.0,0,3,11,True,False,False,False,False,False,False,False,False,False,False,False
2011-03-27,0.0,Baby Food,0.0,0.0,0.0,0.0,0,3,12,True,False,False,False,False,False,False,False,False,False,False,False
2011-04-03,0.0,Baby Food,0.0,0.0,0.0,0.0,0,4,13,True,False,False,False,False,False,False,False,False,False,False,False
2011-04-10,0.0,Baby Food,0.0,0.0,0.0,0.0,0,4,14,True,False,False,False,False,False,False,False,False,False,False,False
2011-04-17,0.0,Baby Food,0.0,0.0,0.0,0.0,0,4,15,True,False,False,False,False,False,False,False,False,False,False,False
2011-04-24,0.0,Baby Food,0.0,0.0,0.0,0.0,0,4,16,True,False,False,False,False,False,False,False,False,False,False,False
2011-05-01,0.0,Baby Food,0.0,0.0,0.0,0.0,0,5,17,True,False,False,False,False,False,False,False,False,False,False,False
2011-05-08,0.0,Baby Food,0.0,0.0,0.0,0.0,0,5,18,True,False,False,False,False,False,False,False,False,False,False,False
2011-05-15,0.0,Baby Food,0.0,0.0,0.0,0.0,0,5,19,True,False,False,False,False,False,False,False,False,False,False,False
2011-05-22,0.0,Baby Food,0.0,0.0,0.0,0.0,0,5,20,True,False,False,False,False,False,False,False,False,False,False,False
2011-05-29,0.0,Baby Food,0.0,0.0,0.0,0.0,0,5,21,True,False,False,False,False,False,False,False,False,False,False,False
2011-06-05,0.0,Baby Food,0.0,0.0,0.0,0.0,0,6,22,True,False,False,False,False,False,False,False,False,False,False,False
2011-06-12,0.0,Baby Food,0.0,0.0,0.0,0.0,0,6,23,True,False,False,False,False,False,False,False,False,False,False,False
